A037n_PN2d_00003-5	reltype=overlap	['四', '日', 'し', '続伸']	[JSP]東京株式市場の株価が四日、大幅に続伸した。	['8', '9', '13', '14']
A037n_PN2d_00003-47	reltype=before	['約', '年', '経', 'する', '誕生']	北大西洋条約機構（ＮＡＴＯ）によるユーゴ空爆から約三年を経て、ようやく「自治州政府」が誕生することになる。	['14', '16', '18', '28', '29']
A037n_PN2d_00003-48	reltype=overlap	['昨年', '月', 'さ', '実施']	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['4', '7', '12', '13']
A037n_PN2d_00003-48	reltype=overlap	['昨年', '月', 'さ', 'し', 'めぐっ']	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['4', '7', '13', '35', '38']
A037n_PN2d_00003-48	reltype=overlap	['昨年', '月', 'さ', 'し', '対立']	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['4', '7', '13', '37', '38']
A037n_PN2d_00003-48	reltype=overlap	['昨年', '月', 'さ', 'し', '続い']	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['4', '7', '13', '38', '44']
A037n_PN2d_00003-49	reltype=overlap	['今後', 'なる']	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['2', '11']
A037n_PN2d_00003-49	reltype=overlap	['今後', 'なる', '探る', 'し', '協調']	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['2', '11', '20', '21', '27']
A037n_PN2d_00003-49	reltype=overlap	['今後', 'なる', '探る']	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['2', '11', '27']
A037n_PN2d_00003-49	reltype=after	['今後', 'なる', '探る', 'み']	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['2', '11', '27', '29']
A037n_PN2d_00003-54	reltype=after	['今年', '月', 'さ', '実施']	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	['4', '6', '11', '12']
A037n_PN2d_00003-54	reltype=after	['今年', '月', 'さ', 'すべて', 'する', '「']	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	['4', '6', '12', '20', '25']
A037n_PN2d_00003-54	reltype=after	['今年', '月', 'さ', 'すべて', 'する', '失態', '演じ']	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	['4', '6', '12', '20', '25', '28', '30']
A037n_PN2d_00003-57	reltype=before	['十', '余', '射止め', '座', '者', 'する', '認知']	[JSP]ユーゴのミロシェビッチ前体制に対するアルバニア系住民の非暴力抵抗運動を指導した「コソボのガンジー」こと、イブラヒム・ルゴバ氏は苦節十年余、晴れて国際社会も認知するコソボの最高指導者の座を射止めた。	['34', '36', '43', '44', '49', '51', '53']
A037n_PN2d_00003-57	reltype=before	['十', '余', '射止め']	[JSP]ユーゴのミロシェビッチ前体制に対するアルバニア系住民の非暴力抵抗運動を指導した「コソボのガンジー」こと、イブラヒム・ルゴバ氏は苦節十年余、晴れて国際社会も認知するコソボの最高指導者の座を射止めた。	['34', '36', '53']
A037n_PN2d_00003-60	reltype=overlap	['一', '年', '運動', 'する', '抗議']	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['1', '5', '12', '13', '14']
A037n_PN2d_00003-60	reltype=overlap	['一', '年', '運動', 'し', '主導']	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['1', '5', '14', '16', '17']
A037n_PN2d_00003-60	reltype=overlap	['一', '年', '運動', 'し', 'し', '結成']	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['1', '5', '14', '17', '23', '24']

