A031n_PN5b_00002-3	reltype=vague	'集まれ'	集まれ[JSP]コアジサシ	['1']
A031n_PN5b_00002-22	reltype=after	'置く'	カラスよけの糸を張り、ひなのための筒型シェルターを置くなど、恒久的な営巣地にするため、あの手この手の工夫をこらす。	['14']
A031n_PN5b_00002-25	reltype=overlap	'生活'	大都会の東京湾岸でも生活できる環境さえあれば、シギやチドリなど多くの鳥が集まり、たくましく生きる。	['8']
A031n_PN5b_00002-28	reltype=before	'ある'	[JSP]東京バードフェスティバルがある１４、１５日のみ、同センター屋上が見学できる（要整理券）。	['6']
A031n_PN5b_00002-28	reltype=before	'見学'	[JSP]東京バードフェスティバルがある１４、１５日のみ、同センター屋上が見学できる（要整理券）。	['19']
A031n_PN5b_00002-32	reltype=after	'設置'	デコイを設置するリトルターン・プロジェクトのメンバー＝森ケ崎水再生センターの屋上で３日、馬場理沙写す	['3']
A031n_PN5b_00002-32	reltype=after	'写す'	デコイを設置するリトルターン・プロジェクトのメンバー＝森ケ崎水再生センターの屋上で３日、馬場理沙写す	['24']
A031n_PN5b_00002-36	reltype=before	'作る'	[JSP]学校・学級通信を中学の先生が作るための講習会が７日、荒川区立諏訪台中であった。	['11']
A031n_PN5b_00002-36	reltype=after	'あっ'	[JSP]学校・学級通信を中学の先生が作るための講習会が７日、荒川区立諏訪台中であった。	['27']
A031n_PN5b_00002-37	reltype=overlap	'取り組む'	ＮＩＥ（教育に新聞を）などに取り組む都中学校新聞教育研究会（越田清四郎会長）が総会に合わせて企画し、約２０人が受講した。	['10']
A031n_PN5b_00002-37	reltype=after	'合わせ'	ＮＩＥ（教育に新聞を）などに取り組む都中学校新聞教育研究会（越田清四郎会長）が総会に合わせて企画し、約２０人が受講した。	['26']
A031n_PN5b_00002-37	reltype=after	'企画'	ＮＩＥ（教育に新聞を）などに取り組む都中学校新聞教育研究会（越田清四郎会長）が総会に合わせて企画し、約２０人が受講した。	['28']
A031n_PN5b_00002-37	reltype=after	'受講'	ＮＩＥ（教育に新聞を）などに取り組む都中学校新聞教育研究会（越田清四郎会長）が総会に合わせて企画し、約２０人が受講した。	['36']
A031n_PN5b_00002-39	reltype=after	'使っ'	参加者は専用ソフトを実際に使ってパソコンで新聞づくりに挑戦した。	['9']
A031n_PN5b_00002-39	reltype=after	'挑戦'	参加者は専用ソフトを実際に使ってパソコンで新聞づくりに挑戦した。	['16']
A031n_PN5b_00002-40	reltype=overlap	'提供'	[JSP]研究会はＰＴＡ広報紙や学校新聞などを作る際の問い合わせにも応じ、情報を提供している。	['23']

