A050n_PN2b_00004-2	reltype=after	'認める'	アルアクサ犯行認める	['3']
A050n_PN2b_00004-12	reltype=after	'示し'	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['55']
A050n_PN2b_00004-12	reltype=after	'非難'	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['63']
A050n_PN2b_00004-13	reltype=after	'し'	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['12']
A050n_PN2b_00004-13	reltype=after	'整える'	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['16']
A050n_PN2b_00004-18	reltype=after	'発生'	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['12']
A050n_PN2b_00004-18	reltype=before	'つながる'	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['29']
A050n_PN2b_00004-18	reltype=before	'用意'	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['43']
A050n_PN2b_00004-18	reltype=before	'提案'	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['60']
A050n_PN2b_00004-18	reltype=after	'し'	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13']
A050n_PN2b_00004-19	reltype=after	'開か'	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['13']
A050n_PN2b_00004-19	reltype=after	'切り上げ'	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['26']
A050n_PN2b_00004-19	reltype=after	'帰国'	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['29']
A050n_PN2b_00004-20	reltype=overlap	'訪問'	[JSP]ブッシュ米大統領は２３日午後、現職の米大統領として初めてペルーを訪問する。	['21']
A050n_PN2b_00004-26	reltype=after	'開か'	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['6']
A050n_PN2b_00004-26	reltype=before	'出す'	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['29']
A050n_PN2b_00004-26	reltype=before	'引き上げる'	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['50']
A050n_PN2b_00004-26	reltype=after	'採択'	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['61']
A050n_PN2b_00004-26	reltype=after	'閉幕'	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['64']
A050n_PN2b_00004-27	reltype=before	'倍増'	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['13']
A050n_PN2b_00004-27	reltype=after	'訴え'	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['20']
A050n_PN2b_00004-27	reltype=before	'増やす'	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['36']
A050n_PN2b_00004-27	reltype=after	'約束'	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['39']
A050n_PN2b_00004-30	reltype=after	'訴え'	[JSP]０・７％は、これまでの国連の会議でも訴えてきた数字で、合意文書はこれを再確認した形だ。	['16']
A050n_PN2b_00004-30	reltype=after	'再'	[JSP]０・７％は、これまでの国連の会議でも訴えてきた数字で、合意文書はこれを再確認した形だ。	['28']
A050n_PN2b_00004-31	reltype=after	'とどめ'	しかし義務ではなく「努力目標」にとどめ、達成期限も明記しなかった。	['11']
A050n_PN2b_00004-31	reltype=after	'明記'	しかし義務ではなく「努力目標」にとどめ、達成期限も明記しなかった。	['16']
A050n_PN2b_00004-32	reltype=before	'持ち'	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['17']
A050n_PN2b_00004-32	reltype=before	'戦い'	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['24']
A050n_PN2b_00004-32	reltype=after	'促し'	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['31']
A050n_PN2b_00004-33	reltype=after	'する'	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['11']
A050n_PN2b_00004-33	reltype=after	'目立ち'	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['17']
A050n_PN2b_00004-33	reltype=after	'抜け出せ'	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['23']
A050n_PN2b_00004-33	reltype=after	'促す'	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['37']
A050n_PN2b_00004-34	reltype=after	'参加'	[JSP]会議には１７１カ国からの代表団、５０人を超える首脳らが参加した。	['22']
A050n_PN2b_00004-35	reltype=after	'受け'	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['8']
A050n_PN2b_00004-35	reltype=after	'求める'	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['26']
A050n_PN2b_00004-35	reltype=after	'相'	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['29']

