A050n_PN2b_00004-2	reltype=after	['認める']	アルアクサ犯行認める	['3']
A050n_PN2b_00004-8	reltype=after	['し', '止め', 'し', 'いう']	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['18', '23', '33', '36']
A050n_PN2b_00004-8	reltype=after	['止め', 'し', 'いう']	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['18', '23', '33']
A050n_PN2b_00004-8	reltype=after	['決行', 'し', 'いう']	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['18', '32', '33']
A050n_PN2b_00004-8	reltype=after	['いう']	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['36']
A050n_PN2b_00004-9	reltype=after	['指定', 'さ', '出し']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['30', '31', '49']
A050n_PN2b_00004-9	reltype=after	['出し']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['49']
A050n_PN2b_00004-10	reltype=after	['批判', 'し', 'する', '内容']	米国のイスラエル寄りの姿勢を強く批判し、イスラエルに対し自爆テロによる徹底抗戦を宣言する内容だ。	['9', '10', '23', '24']
A050n_PN2b_00004-10	reltype=after	['宣言', 'する', '内容']	米国のイスラエル寄りの姿勢を強く批判し、イスラエルに対し自爆テロによる徹底抗戦を宣言する内容だ。	['22', '23', '24']
A050n_PN2b_00004-11	reltype=after	['受け', 'し', '追い込ま']	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['9', '28', '50']
A050n_PN2b_00004-11	reltype=after	['狙っ', 'テロ', '措置', 'とる', 'し', '追い込ま']	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['16', '19', '22', '24', '28', '39']
A050n_PN2b_00004-11	reltype=after	['とる', 'し', '追い込ま']	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['24', '28', '50']
A050n_PN2b_00004-11	reltype=after	['公約', 'し', '追い込ま']	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['27', '28', '50']
A050n_PN2b_00004-11	reltype=after	['追い込ま']	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['50']
A050n_PN2b_00004-12	reltype=after	['停止', 'さ', '条件', '満たし', '示し', 'し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['16', '37', '38', '45', '47', '55']
A050n_PN2b_00004-12	reltype=after	['満たし', '示し', 'し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['47', '55', '64']
A050n_PN2b_00004-12	reltype=after	['示し', 'し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['55', '64']
A050n_PN2b_00004-12	reltype=after	['非難', 'し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['63', '64']
A050n_PN2b_00004-13	reltype=after	['し', '整える', 'メンバー', 'ロイター']	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['12', '16', '24', '26']
A050n_PN2b_00004-13	reltype=after	['整える', 'メンバー', 'ロイター']	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['16', '24', '26']
A050n_PN2b_00004-18	reltype=after	['発生', 'し', '事件', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['12', '13', '16', '66']
A050n_PN2b_00004-18	reltype=before	['つながる', '者', 'する', '一方', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13', '29', '32', '44', '45']
A050n_PN2b_00004-18	reltype=before	['用意', 'する', '一方', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13', '43', '44', '45']
A050n_PN2b_00004-18	reltype=before	['提案', 'する', '方針', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13', '44', '60', '61']
A050n_PN2b_00004-18	reltype=after	['し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13']
A050n_PN2b_00004-19	reltype=after	['開か', '会議', '参加', '切り上げ', 'し']	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['13', '21', '24', '26', '30']
A050n_PN2b_00004-19	reltype=after	['切り上げ', 'し']	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['26', '30']
A050n_PN2b_00004-19	reltype=after	['帰国', 'し']	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['29', '30']
A050n_PN2b_00004-20	reltype=overlap	['訪問', 'する']	[JSP]ブッシュ米大統領は２３日午後、現職の米大統領として初めてペルーを訪問する。	['21', '22']
A050n_PN2b_00004-26	reltype=after	['開か', '会議', 'し']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['6', '16', '62']
A050n_PN2b_00004-26	reltype=before	['出す', 'ＯＤＡ', 'よう', '促す', 'コンセンサス', 'し', 'し']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['29', '34', '51', '52', '58', '62', '65']
A050n_PN2b_00004-26	reltype=before	['引き上げる', 'よう', '促す', 'コンセンサス', 'し', 'し']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['50', '51', '52', '58', '62', '65']
A050n_PN2b_00004-26	reltype=after	['採択', 'し', 'し']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['61', '62', '65']
A050n_PN2b_00004-26	reltype=after	['閉幕', 'し']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['62', '64']
A050n_PN2b_00004-27	reltype=before	['倍増', 'さ', '必要', 'ある', '訴え', 'し']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['13', '14', '16', '18', '20', '40']
A050n_PN2b_00004-27	reltype=after	['訴え', 'し']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['20', '40']
A050n_PN2b_00004-27	reltype=before	['増やす', 'し']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['36', '40']
A050n_PN2b_00004-27	reltype=after	['約束', 'し']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['39', '40']
A050n_PN2b_00004-30	reltype=after	['訴え', '数字', '形']	[JSP]０・７％は、これまでの国連の会議でも訴えてきた数字で、合意文書はこれを再確認した形だ。	['16', '20', '32']
A050n_PN2b_00004-30	reltype=after	['再', 'し', '形']	[JSP]０・７％は、これまでの国連の会議でも訴えてきた数字で、合意文書はこれを再確認した形だ。	['28', '30', '32']
A050n_PN2b_00004-31	reltype=after	['とどめ', 'し']	しかし義務ではなく「努力目標」にとどめ、達成期限も明記しなかった。	['11', '17']
A050n_PN2b_00004-31	reltype=after	['明記', 'し']	しかし義務ではなく「努力目標」にとどめ、達成期限も明記しなかった。	['16', '17']
A050n_PN2b_00004-32	reltype=before	['持ち', '戦い', 'よう', '促し']	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['17', '24', '30', '31']
A050n_PN2b_00004-32	reltype=before	['戦い', 'よう', '促し']	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['24', '30', '31']
A050n_PN2b_00004-32	reltype=after	['促し']	[JSP]合意文書は同時に、各国が自国の経済発展に責任を持ち、あらゆるレベルで汚職と戦い、人材育成を進めるよう促した。	['31']
A050n_PN2b_00004-33	reltype=after	['する', '家', '官僚', '目立ち', 'ある', 'ため', 'なっ']	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['11', '13', '15', '17', '27', '28', '41']
A050n_PN2b_00004-33	reltype=after	['目立ち', 'ある', 'ため', 'なっ']	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['17', '27', '28', '41']
A050n_PN2b_00004-33	reltype=after	['抜け出せ', '国', 'ある', 'ため', 'なっ']	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['3', '23', '25', '27', '28']
A050n_PN2b_00004-33	reltype=after	['促す', '形', 'なっ']	[JSP]途上国の中でＯＤＡを食い物にする政治家、官僚が目立ち、援助依存体質から抜け出せない国もあるためで、途上国の自助努力を促す形にもなっている。	['37', '38', '41']
A050n_PN2b_00004-34	reltype=after	['参加', 'し']	[JSP]会議には１７１カ国からの代表団、５０人を超える首脳らが参加した。	['22', '23']
A050n_PN2b_00004-35	reltype=after	['受け', '次い']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['8', '30']
A050n_PN2b_00004-35	reltype=after	['求める', '声', '次い']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['26', '27', '30']
A050n_PN2b_00004-35	reltype=after	['相', '次い']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['29', '30']

