A051n_PN2d_00004-4	reltype=after	['点滅', 'する', '数字', '変化']	[JSP]青い空間に点滅する数字、それは永遠に続く変化。	['5', '6', '7', '14']
A051n_PN2d_00004-13	reltype=before	['完成', 'さ', '予定']	[JSP]地域住民の協力を得て完成させる予定です。	['9', '10', '12']
A051n_PN2d_00004-14	reltype=before	['渡し', 'し', '考え']	住民の方々にカウンターを一個ずつ渡して、数字を刻む速さを設定してもらい、作品に流れる時間を考えていただく。	['10', '20', '29']
A051n_PN2d_00004-14	reltype=before	['刻む', 'さ', 'し', '考え']	住民の方々にカウンターを一個ずつ渡して、数字を刻む速さを設定してもらい、作品に流れる時間を考えていただく。	['15', '17', '20', '29']
A051n_PN2d_00004-14	reltype=before	['設定', 'し', '考え']	住民の方々にカウンターを一個ずつ渡して、数字を刻む速さを設定してもらい、作品に流れる時間を考えていただく。	['19', '20', '29']
A051n_PN2d_00004-14	reltype=before	['流れる', '時間', '考え']	住民の方々にカウンターを一個ずつ渡して、数字を刻む速さを設定してもらい、作品に流れる時間を考えていただく。	['26', '27', '29']
A051n_PN2d_00004-14	reltype=before	['考え']	住民の方々にカウンターを一個ずつ渡して、数字を刻む速さを設定してもらい、作品に流れる時間を考えていただく。	['29']
A051n_PN2d_00004-15	reltype=after	['共有', 'し', '考える']	住民と僕が創作を共有したいと考えるからです。	['7', '8', '11']
A051n_PN2d_00004-15	reltype=after	['考える']	住民と僕が創作を共有したいと考えるからです。	['11']
A051n_PN2d_00004-17	reltype=before	['創作', 'する']	[JSP]市民とともに創作する―。	['6', '7']
A051n_PN2d_00004-18	reltype=before	['置か', '作品', '必要']	この姿勢が公共の場に置かれる作品には必要ではないでしょうか。	['8', '10', '13']
A051n_PN2d_00004-20	reltype=after	['作り']	[JSP]香川の直島で一九九八年、築二百五十年の民家の中にプールを作りました。	['23']
A051n_PN2d_00004-21	reltype=after	['設定', 'し', 'カウンター', '設け']	水中に、島のお年寄り百二十五人が速度を設定したデジタルカウンターを設けたのです。	['15', '16', '19', '21']
A051n_PN2d_00004-21	reltype=after	['設け']	水中に、島のお年寄り百二十五人が速度を設定したデジタルカウンターを設けたのです。	['21']
A051n_PN2d_00004-22	reltype=after	['訪れ', '客', '間', '始まり']	[JSP]すると、それまで現代美術にほとんど縁がなかったお年寄りと訪れた若い客との間に、くつろいだ雰囲気の会話が始まりました。	['18', '21', '24', '33']
A051n_PN2d_00004-22	reltype=after	['くつろい', '雰囲気', '会話', '始まり']	[JSP]すると、それまで現代美術にほとんど縁がなかったお年寄りと訪れた若い客との間に、くつろいだ雰囲気の会話が始まりました。	['27', '29', '31', '33']
A051n_PN2d_00004-22	reltype=after	['始まり']	[JSP]すると、それまで現代美術にほとんど縁がなかったお年寄りと訪れた若い客との間に、くつろいだ雰囲気の会話が始まりました。	['33']
A051n_PN2d_00004-23	reltype=vague	['超え', 'し', '図れる', '道具', 'つ', '考え']	アート作品は国境や人種、民族、文化の違いを超えて交流し、美しいハーモニーが図れる道具の一つだと考えています。	['14', '17', '22', '23', '26', '29']
A051n_PN2d_00004-23	reltype=vague	['交流', 'し', '図れる', '道具', 'つ', '考え']	アート作品は国境や人種、民族、文化の違いを超えて交流し、美しいハーモニーが図れる道具の一つだと考えています。	['16', '17', '22', '23', '26', '29']
A051n_PN2d_00004-23	reltype=vague	['図れる', '道具', 'つ', '考え']	アート作品は国境や人種、民族、文化の違いを超えて交流し、美しいハーモニーが図れる道具の一つだと考えています。	['22', '23', '26', '29']
A051n_PN2d_00004-24	reltype=overlap	['使う', 'もの']	[JSP]数字を使うのは世界共通のものだから。	['4', '10']
A051n_PN2d_00004-25	reltype=overlap	['変化', '続ける', '続く', '結ぶ', 'コンセプト', '込め']	そこに「それは変化し続ける」「それは永遠に続く」「それはあらゆるものと関係を結ぶ」という僕なりの三つのコンセプトを込めてあります。	['6', '8', '15', '25', '35', '37']
A051n_PN2d_00004-25	reltype=overlap	['続く', '結ぶ', 'コンセプト', '込め']	そこに「それは変化し続ける」「それは永遠に続く」「それはあらゆるものと関係を結ぶ」という僕なりの三つのコンセプトを込めてあります。	['15', '25', '35', '37']
A051n_PN2d_00004-27	reltype=overlap	['表現', 'し']	[JSP]数字をカウントすることによって「輪廻転生」を表現しています。	['15', '16']
A051n_PN2d_00004-29	reltype=after	['思う']	０を使わないのは、「死」のイメージが漂っているように思うから。	['19']
A051n_PN2d_00004-31	reltype=after	['考え', '思う']	だけど理解しようとか、分かろうとか、考えなくてもいいと思う。	['12', '18']
A051n_PN2d_00004-31	reltype=after	['思う']	だけど理解しようとか、分かろうとか、考えなくてもいいと思う。	['18']
A051n_PN2d_00004-35	reltype=overlap	['楽しん', '作っ', '楽しん']	僕自身が楽しんで作っているのだから、見る人もまず楽しんでほしい。	['4', '6', '17']
A051n_PN2d_00004-35	reltype=overlap	['作っ', '楽しん']	僕自身が楽しんで作っているのだから、見る人もまず楽しんでほしい。	['4', '6']
A051n_PN2d_00004-35	reltype=after	['楽しん']	僕自身が楽しんで作っているのだから、見る人もまず楽しんでほしい。	['4']
A051n_PN2d_00004-36	reltype=before	['かけ', '決まっ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['8', '16']
A051n_PN2d_00004-36	reltype=after	['決まっ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['16']
A051n_PN2d_00004-39	reltype=after	['開か', '部門', '発表']	８８年、ベネチアで開かれた国際現代美術展アペルト部門に、デジタルカウンターを使った最初の作品を発表。	['7', '15', '27']
A051n_PN2d_00004-39	reltype=after	['使っ', '作品', '発表']	８８年、ベネチアで開かれた国際現代美術展アペルト部門に、デジタルカウンターを使った最初の作品を発表。	['21', '25', '27']
A051n_PN2d_00004-40	reltype=after	['受け']	国際的な評価を受けた。	['6']
A051n_PN2d_00004-46	reltype=after	['点滅', 'する', '作品', '出合っ']	[JSP]数年前、「１から９」の数字が点滅する宮島作品に、京都の美術館で出合った。	['14', '15', '17', '25']
A051n_PN2d_00004-46	reltype=after	['出合っ']	[JSP]数年前、「１から９」の数字が点滅する宮島作品に、京都の美術館で出合った。	['25']
A051n_PN2d_00004-47	reltype=after	['すれ違える', '程度', 'トンネル']	人がやっとすれ違える程度の、細くて暗く長いトンネル。	['4', '5', '12']
A051n_PN2d_00004-48	reltype=after	['通り抜ける', '作品']	その中を観客が通り抜ける作品だった。	['6', '7']
A051n_PN2d_00004-49	reltype=after	['浴び']	赤い数字のシャワーを浴びながら。	['6']
A051n_PN2d_00004-50	reltype=after	['歩く', 'うち', '気づい']	[JSP]歩くうち、点滅のスピードに、自分の歩くリズムを無意識に合わせていることに気づいた。	['2', '3', '12']
A051n_PN2d_00004-50	reltype=after	['歩く', 'リズム', '合わせ', 'こと', '気づい']	[JSP]歩くうち、点滅のスピードに、自分の歩くリズムを無意識に合わせていることに気づいた。	['2', '12', '13', '18', '21']
A051n_PN2d_00004-50	reltype=after	['合わせ', 'こと', '気づい']	[JSP]歩くうち、点滅のスピードに、自分の歩くリズムを無意識に合わせていることに気づいた。	['18', '21', '23']
A051n_PN2d_00004-50	reltype=after	['気づい']	[JSP]歩くうち、点滅のスピードに、自分の歩くリズムを無意識に合わせていることに気づいた。	['23']
A051n_PN2d_00004-52	reltype=after	['刻む', '音', '聴い', '錯覚', '覚え', 'ない']	数字がカチカチとリズムを刻む音まで聴いたような錯覚を覚えた、実際にはまったく音はない。	['7', '8', '10', '14', '16', '23']
A051n_PN2d_00004-52	reltype=after	['聴い', '錯覚', '覚え', 'ない']	数字がカチカチとリズムを刻む音まで聴いたような錯覚を覚えた、実際にはまったく音はない。	['10', '14', '16', '25']
A051n_PN2d_00004-52	reltype=after	['覚え', 'ない']	数字がカチカチとリズムを刻む音まで聴いたような錯覚を覚えた、実際にはまったく音はない。	['16', '25']
A051n_PN2d_00004-52	reltype=after	['ない']	数字がカチカチとリズムを刻む音まで聴いたような錯覚を覚えた、実際にはまったく音はない。	['25']
A051n_PN2d_00004-53	reltype=after	['はまっ']	その世界にすっかりはまった。	['5']
A051n_PN2d_00004-54	reltype=overlap	['やわらげる', '効果', 'ある', 'さ']	[JSP]そんな宮島作品が、最近、末期がんを宣告された患者の痛みをやわらげる効果がある、と注目されている。	['13', '20', '21', '23']
A051n_PN2d_00004-54	reltype=overlap	['注目', 'さ']	[JSP]そんな宮島作品が、最近、末期がんを宣告された患者の痛みをやわらげる効果がある、と注目されている。	['13', '26']
A051n_PN2d_00004-55	reltype=after	['使っ', '仕上げる', 'さ', 'いう']	患者自らがカウンターを使って作品を仕上げるのだが、創作のイメージづくりに夢中になって、その間、痛みから解放されるというのだ。	['6', '10', '31', '34']
A051n_PN2d_00004-55	reltype=after	['仕上げる', 'さ', 'いう']	患者自らがカウンターを使って作品を仕上げるのだが、創作のイメージづくりに夢中になって、その間、痛みから解放されるというのだ。	['10', '31', '34']
A051n_PN2d_00004-55	reltype=after	['なっ', 'さ', 'いう']	患者自らがカウンターを使って作品を仕上げるのだが、創作のイメージづくりに夢中になって、その間、痛みから解放されるというのだ。	['22', '31', '34']
A051n_PN2d_00004-55	reltype=after	['解放', 'さ', 'いう']	患者自らがカウンターを使って作品を仕上げるのだが、創作のイメージづくりに夢中になって、その間、痛みから解放されるというのだ。	['30', '31', '34']
A051n_PN2d_00004-58	reltype=before	['使う']	[JSP]最新作では鏡を使う。	['8']
A051n_PN2d_00004-59	reltype=before	['違い', 'できる']	薄暗かったこれまでと違い、明るい空間で、子供も怖がらずに鑑賞できる。	['6', '19']
A051n_PN2d_00004-59	reltype=before	['怖', 'がら', 'できる']	薄暗かったこれまでと違い、明るい空間で、子供も怖がらずに鑑賞できる。	['14', '15', '19']
A051n_PN2d_00004-59	reltype=before	['鑑賞', 'できる']	薄暗かったこれまでと違い、明るい空間で、子供も怖がらずに鑑賞できる。	['18', '19']

