A001n_PN1c_00001-5	reltype=ob	['９', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4']
A003n_PN1e_00001-25	reltype=before	['昨年', '大幅']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '20']
A003n_PN1e_00001-25	reltype=before	['昨年', '健闘']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '63']
A003n_PN1e_00001-30	reltype=before	['９', '達し']	※三和銀行とＮＴＴコミュニケーションズ（９９年７月営業開始）は、９９年に申告所得が公示基準（４０００万円以上）に達しなかった。	['8', '9']
A003n_PN1e_00001-35	reltype=before	['二十', '分離']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '21']
A003n_PN1e_00001-35	reltype=before	['二十', '統合']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '44']
A003n_PN1e_00001-35	reltype=before	['二十', '設立']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '59']
A003n_PN1e_00001-35	reltype=overlap	['二十', '発表']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '62']
A003n_PN1e_00001-35	reltype=overlap	['今年', '分離']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '21']
A003n_PN1e_00001-35	reltype=overlap	['今年', '統合']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '44']
A003n_PN1e_00001-35	reltype=overlap	['今年', '設立']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '59']
A003n_PN1e_00001-35	reltype=after	['今年', '発表']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '62']
A005n_PN2e_00001-9	reltype=ob	['今月', '行っ']	[JSP]今月初めから町内全戸を対象に希望調査を行っており、五月中旬から回収を始める。	['2', '13']
A005n_PN2e_00001-27	reltype=overlap	['二', '営業']	公営地下鉄事業は、二〇〇〇年度末で、東京都と八政令市で延べ四百七十三キロが営業している。	['7', '28']
A006n_PN3b_00001-12	reltype=vague	['週', '応じ']	能力に応じて３クラス（各１０人）に分け、３人の講師が週２回、すべて英語で授業をする。	['3', '21']
A006n_PN3b_00001-14	reltype=vague	['午前', '出']	学生の研究に支障が出ないよう、授業は午前８時半から１０時まで。	['7', '13']
A006n_PN3b_00001-14	reltype=vague	['１', '出']	学生の研究に支障が出ないよう、授業は午前８時半から１０時まで。	['7', '18']
A006n_PN3b_00001-17	reltype=vague	['２', '選ば']	[JSP]化学専攻は昨年、文部科学省の「２１世紀ＣＯＥ（センター・オブ・エクセレンス）プログラム」に選ばれた。	['12', '26']
A006n_PN3b_00001-18	reltype=overlap	['５', '加算']	研究・教育予算が５年間、１億〜５億円ずつ加算されることになり、英語特別指導はその予算を利用する。	['6', '12']
A006n_PN3b_00001-19	reltype=after	['毎月', '雇用']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['34', '45']
A006n_PN3b_00001-19	reltype=after	['毎月', '結び']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['38', '45']
A006n_PN3b_00001-19	reltype=overlap	['毎月', '支払う']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['45', '56']
A006n_PN3b_00001-19	reltype=after	['毎月', '始め']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['45', '59']
A006n_PN3b_00001-27	reltype=overlap	['５', 'し']	[JSP]米ＣＮＮテレビのプロデューサー、ウェンディ・ウィットワースさんの５０歳の誕生日、夫のラルフさんが“プレゼント”したのは何と、元ビートルズのポール・マッカートニーのプライベートコンサートだった。	['13', '28']
A006n_PN3b_00001-29	reltype=overlap	['約', '上げ']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '20']
A006n_PN3b_00001-29	reltype=overlap	['約', '演奏']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '28']
A006n_PN3b_00001-29	reltype=before	['約', 'いう']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '32']
A006n_PN3b_00001-36	reltype=after	['６', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '42']
A006n_PN3b_00001-36	reltype=after	['６', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '42']
A006n_PN3b_00001-36	reltype=overlap	['６', '破棄']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['42', '70']
A006n_PN3b_00001-36	reltype=overlap	['６', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['42', '77']
A006n_PN3b_00001-36	reltype=after	['２', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '43']
A006n_PN3b_00001-36	reltype=after	['２', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '43']
A006n_PN3b_00001-36	reltype=overlap	['２', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['43', '51']
A006n_PN3b_00001-36	reltype=after	['４', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['3', '6']
A006n_PN3b_00001-36	reltype=after	['４', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['3', '29']
A006n_PN3b_00001-36	reltype=after	['０', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '63']
A006n_PN3b_00001-36	reltype=after	['０', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '63']
A006n_PN3b_00001-36	reltype=before	['０', '破棄']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['63', '64']
A006n_PN3b_00001-36	reltype=before	['０', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['63', '64']
A006n_PN3b_00001-36	reltype=after	['３', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '66']
A006n_PN3b_00001-36	reltype=after	['３', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '66']
A006n_PN3b_00001-42	reltype=before	['今月', '減刑']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['5', '33']
A006n_PN3b_00001-42	reltype=overlap	['今月', '成立']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['33', '42']
A006n_PN3b_00001-42	reltype=before	['今月', 'あげ']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['33', '47']
A006n_PN3b_00001-43	reltype=after	['５', '共謀']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '21']
A006n_PN3b_00001-43	reltype=after	['５', '経営']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '39']
A006n_PN3b_00001-43	reltype=after	['５', '不正']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '49']
A006n_PN3b_00001-43	reltype=after	['５', 'ない']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '71']
A006n_PN3b_00001-43	reltype=after	['５', '熟知']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '74']
A006n_PN3b_00001-43	reltype=after	['５', '懇願']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '84']
A006n_PN3b_00001-43	reltype=overlap	['５', '認め']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '93']
A006n_PN3b_00001-43	reltype=overlap	['９', '共謀']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['21', '57']
A006n_PN3b_00001-43	reltype=vague	['９', '経営']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['39', '57']
A006n_PN3b_00001-43	reltype=overlap	['９', '不正']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['49', '57']
A006n_PN3b_00001-43	reltype=overlap	['９', '熟知']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['57', '74']
A006n_PN3b_00001-43	reltype=overlap	['９', '懇願']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['57', '84']
A006n_PN3b_00001-43	reltype=before	['９', '認め']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['57', '93']
A007n_PN3g_00001-3	reltype=overlap	['九', '実施']	[JSP]最高裁裁判官の国民審査が九日、衆院選投票と同時に実施される。	['10', '19']
A007n_PN3g_00001-12	reltype=after	['０', '経']	東京高裁長官を経て０２年１１月最高裁判事。	['5', '7']
A007n_PN3g_00001-21	reltype=overlap	['０', '判断']	[JSP]婚外子の遺産相続分を嫡出子の半分とする民法の規定を合憲と判断した判決（第一小法廷、０３年３月）で反対意見。	['21', '31']
A007n_PN3g_00001-22	reltype=overlap	['０', 'し']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['16', '20']
A007n_PN3g_00001-22	reltype=overlap	['０', '評価']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['20', '24']
A007n_PN3g_00001-26	reltype=after	['０', '経']	広島、大阪各高裁長官を経て０２年２月最高裁判事。	['8', '10']
A007n_PN3g_00001-36	reltype=vague	['０', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '31']
A007n_PN3g_00001-36	reltype=overlap	['０', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31']
A007n_PN3g_00001-36	reltype=before	['０', 'し']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['31', '54']
A007n_PN3g_00001-36	reltype=vague	['０', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '31']
A007n_PN3g_00001-36	reltype=after	['０', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31']
A007n_PN3g_00001-40	reltype=after	['０', '経']	東京高検検事長を経て０２年１０月最高裁判事。	['6', '8']
A007n_PN3g_00001-49	reltype=after	['０', '締結']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['4', '25']
A007n_PN3g_00001-49	reltype=overlap	['０', '否定']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['20', '25']
A007n_PN3g_00001-49	reltype=overlap	['０', 'し']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['21', '25']
A007n_PN3g_00001-53	reltype=after	['０', '経']	仙台、大阪各高裁長官を経て０２年１１月最高裁判事。	['8', '10']
A007n_PN3g_00001-63	reltype=overlap	['０', 'し']	併合罪の解釈が争われた新潟の女性監禁事件で懲役１４年とした判決（０３年７月）に関与。	['20', '24']
A007n_PN3g_00001-76	reltype=vague	['０', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=before	['０', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=before	['０', 'でき']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=vague	['０', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=overlap	['０', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
